ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV1346,-0.060605922,,,,
ASV1353,3.039020008,,,,
ASV1356,-17.95106014,,,,
ASV1360,-4.248252783,,,,
ASV1368,-0.475684312,0.287823868,-1.652692375,0.100964762,0.494520312
ASV1374,-4.486237532,,,,
ASV1375,1.350328435,,,,
ASV1390,0.366242867,,,,
ASV1392,-0.520643543,1.111301431,-0.468498941,0.640263828,0.95014982
ASV1405,-0.575033615,,,,
ASV1407,2.744583531,,,,
ASV1410,-0.778005862,0.87598239,-0.8881524,0.376206479,0.835900552
ASV1413,-20.16579316,,,,
ASV1417,-1.413934325,,,,
ASV1418,-2.100590203,,,,
ASV1423,4.048062101,,,,
ASV1433,22.72414297,,,,
ASV1438,-18.01366654,,,,
ASV1439,-20.33709425,,,,
ASV1447,-0.358746985,,,,
ASV1450,-1.266308816,,,,
ASV1467,0.835342058,1.448865332,0.576549138,0.56530629,0.919028871
ASV1469,1.767541153,,,,
ASV1470,-0.415520757,0.977903982,-0.424909566,0.67165107,
ASV1473,0.324760294,,,,
ASV1483,-18.07125016,,,,
ASV1492,4.305574264,,,,
ASV1495,-2.320212694,,,,
ASV1497,-18.14451357,,,,
ASV1507,-0.333470342,,,,
ASV1513,-2.191427288,,,,
ASV1514,-28.69179188,,,,
ASV1517,39.15766601,,,,
ASV1524,-1.26928744,,,,
ASV1526,0.106848948,,,,
ASV1527,-2.501500628,,,,
ASV1528,-0.393298364,,,,
ASV1537,2.699794483,,,,
ASV1539,-0.183170317,0.434638887,-0.421431036,0.674181944,0.95014982
ASV1541,3.292331764,,,,
ASV1544,0.389403725,1.421985313,0.27384511,0.784666751,
ASV1547,-1.554659592,,,,
ASV1553,-0.0546322,0.473545764,-0.115368365,0.908342825,0.991293937
ASV1554,1.196589635,0.765077714,1.564010574,0.120405354,0.525339397
ASV1559,-0.77715017,0.746816042,-1.040617938,0.300110768,0.799675421
ASV1563,-4.040769109,,,,
ASV1569,3.046961759,,,,
ASV1570,-19.21116368,,,,
ASV1583,-0.001112666,,,,
ASV1585,-0.291079464,0.853015678,-0.341235773,0.733513089,0.969817912
ASV1592,0.718563236,0.743091115,0.966992098,0.335461007,0.824773196
ASV1594,-2.012069461,,,,
ASV1595,2.348294249,1.243841495,1.887936894,0.061409713,0.376375038
ASV1600,-0.202479377,,,,
ASV1601,0.001247474,0.560903993,0.002224042,0.998229105,0.999356989
ASV1622,-1.233114061,,,,
ASV1632,2.23848781,,,,
ASV1636,-1.094632504,,,,
ASV1637,0.849279415,,,,
ASV1640,-0.555060308,1.289787776,-0.430350108,0.66770025,
ASV1645,0.414215319,,,,
ASV1649,-16.61450861,,,,
ASV1655,2.751427911,,,,
ASV1662,2.697497776,,,,
ASV1669,-43.40549515,,,,
ASV1674,7.161558761,,,,
ASV1680,-0.352777356,8.253698763,-0.042741729,0.965977289,0.999356989
ASV1681,-6.975565267,,,,
ASV1688,-1.129601856,,,,
ASV1690,-0.945379775,,,,
ASV1692,4.298967875,1.568474551,2.740859181,0.007049047,
ASV1694,-0.523989374,1.684774654,-0.311014517,0.756320363,0.969817912
ASV1707,-0.365510204,0.838921396,-0.435690645,0.663831097,0.95014982
ASV1708,-6.547542522,,,,
ASV1723,1.784704218,,,,
ASV1730,-0.031724719,0.403421828,-0.078639075,0.937448544,0.991293937
ASV1743,-3.414559994,0.954264092,-3.578212805,0.000497246,
ASV1747,1.210773876,,,,
ASV1748,-17.92082169,,,,
ASV1754,-2.510150559,,,,
ASV1755,-0.02250859,,,,
ASV1758,1.454497736,,,,
ASV1766,1.634578024,,,,
ASV1770,25.13105176,,,,
ASV1773,-1.062563328,,,,
ASV1782,2.967255151,,,,
ASV1784,-3.980642675,,,,
ASV1787,-3.510262722,,,,
ASV1790,-1.448522703,,,,
ASV1794,-1.541174581,0.860293136,-1.791452838,0.075699812,0.414917052
ASV1797,2.529140377,,,,
ASV1798,-2.775476426,,,,
ASV1801,1.67236563,,,,
ASV1805,-0.519302733,,,,
ASV1815,-18.14160436,,,,
ASV1820,-3.920963132,,,,
ASV1823,-19.49454823,,,,
ASV1825,0.163307541,0.748757203,0.218104801,0.827711853,0.991293937
ASV1829,1.298348213,,,,
ASV1836,2.746172677,0.713187125,3.850564009,0.000189128,0.006410829
ASV1841,-2.732170824,,,,
ASV1851,-0.949011554,,,,
ASV1855,0.352987322,,,,
ASV1856,3.483403236,,,,
ASV1857,-0.4245282,0.464862836,-0.913233254,0.362921091,0.835900552
ASV1858,0.39629008,,,,
ASV1863,-0.575051834,,,,
ASV1876,0.873158622,,,,
ASV1900,2.069992358,,,,
ASV1901,-3.598737268,,,,
ASV1905,-18.16165597,,,,
ASV1906,-19.84474105,,,,
ASV1914,1.388162122,0.846121279,1.64061838,0.103452421,0.494520312
ASV1920,-1.081555189,,,,
ASV1921,2.920899007,,,,
ASV1922,-2.301524913,,,,
ASV1929,0.163812828,0.789949669,0.207371222,0.836065698,0.991293937
ASV1930,-18.67688661,,,,
ASV1942,-3.847913293,,,,
ASV1948,-2.340169588,,,,
ASV1951,1.296768772,,,,
ASV1953,-19.22325351,,,,
ASV1958,-1.941187652,,,,
ASV1961,-3.032924837,,,,
ASV1970,-3.248387567,,,,
ASV1973,-20.00150212,,,,
ASV1975,-0.555592739,0.880088036,-0.63129223,0.529030472,0.898303094
ASV1977,0.780345756,,,,
ASV1978,1.132933003,,,,
ASV1983,-0.110624214,,,,
ASV1995,-1.710931129,,,,
ASV2003,-1.243805001,,,,
ASV2004,-20.41973851,,,,
ASV2009,-1.059723104,1.394569045,-0.759892891,0.448784544,0.860504771
ASV2010,-3.019021297,5.300002948,-0.569626343,0.569978533,
ASV2029,0.803948181,,,,
ASV2031,-2.727346167,,,,
ASV2040,-2.922779514,,,,
ASV2041,-1.361675784,,,,
ASV2043,0.14788214,0.995274372,0.148584294,0.882126983,0.991293937
ASV2046,-19.31984031,,,,
ASV2051,-23.54841621,,,,
ASV2054,-22.73287312,,,,
ASV2059,2.563893561,,,,
ASV2060,0.300736614,,,,
ASV2061,4.137331278,,,,
ASV2067,-1.987770511,,,,
ASV2071,1.891109016,,,,
ASV2079,-0.245930375,,,,
ASV2083,-2.712140729,,,,
ASV2100,0.755326277,0.598556059,1.26191401,0.209386939,0.721775469
ASV2103,0.429098761,,,,
ASV2106,-0.494510107,,,,
ASV2113,2.475590958,,,,
ASV2114,-21.04694543,,,,
ASV2115,-5.334748712,,,,
ASV2119,-4.331867793,,,,
ASV2123,-17.20797222,,,,
ASV2129,0.193959894,0.628755536,0.308482204,0.758241555,0.969817912
ASV2138,0.568807756,,,,
ASV2151,-0.741692362,,,,
ASV2172,-3.697005825,,,,
ASV2184,-19.6929049,,,,
ASV2189,4.358075936,,,,
ASV2195,-2.941351787,,,,
ASV2206,-18.40944612,,,,
ASV2209,7.477953643,,,,
ASV2215,5.248221233,,,,
ASV2218,-3.458025047,,,,
ASV2223,-0.630931398,,,,
ASV2225,-0.886753642,,,,
