ASV,Estimate,Std. Error,t value,Pr(>|t|),p_fdr
ASV5749,2.627089163,2.423034494,1.084214513,0.280216591,
ASV5750,-18.04494012,142971.1233,-0.000126214,0.999899484,
ASV5754,3.412410664,2.086519267,1.6354561,0.104300339,
ASV5755,-0.835316487,1.508894204,-0.553595133,0.580778501,0.941629169
ASV5763,-1.295425769,1.276584385,-1.014759215,0.312049367,0.905309277
ASV5766,-0.877142622,2.458953267,-0.356713824,0.721867143,
ASV5770,-4.485661236,,,,
ASV5772,-3.881999083,,,,
ASV5776,-6.081769517,,,,
ASV5785,6.089426239,1.453701829,4.188910075,5.05E-05,
ASV5794,1.105940331,4.009527818,0.275828073,0.783105039,
ASV5799,-18.42341355,147186.7678,-0.00012517,0.999900315,
ASV5810,-16.68621229,14432.43313,-0.001156161,0.999079237,
ASV5813,2.244368965,3.237859674,0.693164371,0.489406087,
ASV5818,-15.96503202,,,,
ASV5824,-24.12095602,871499.0235,-2.77E-05,0.999977958,
ASV5834,-5.811483136,,,,
ASV5835,0.236702149,1.910714484,0.123881486,0.901594743,
ASV5846,-0.359724748,1.288813558,-0.2791131,0.780588344,0.941629169
ASV5867,-17.46864695,86336.99754,-0.000202331,0.999838864,
ASV5870,-19.61376069,434142.4751,-4.52E-05,0.99996402,
ASV5871,-1.390349492,2.45216784,-0.566987899,0.571670959,
ASV5872,-4.045785777,,,,
ASV5873,1.00053199,2.97866717,0.335899224,0.737472233,
ASV5876,-0.263329873,2.129539612,-0.123655776,0.901773116,
ASV5879,-5.460971485,,,,
ASV5892,-17.25266331,231682.0822,-7.45E-05,0.999940695,
ASV5893,-5.352036467,,,,
ASV5900,-15.16517903,25634.40618,-0.000591595,0.999528856,
ASV5905,-5.250808974,,,,
ASV5907,22.38756166,,,,
ASV5908,-16.29298365,,,,
ASV5915,4.416586186,1.412790625,3.12614347,0.00217233,
ASV5918,-18.83852241,553069.4158,-3.41E-05,0.999972873,
ASV5923,-0.676648906,0.65633018,-1.030958086,0.304417686,0.905309277
ASV5929,5.335267656,,,,
ASV5937,-12.64993002,,,,
ASV5940,-21.08321984,572084.5344,-3.69E-05,0.99997065,
ASV5951,-0.407224541,0.655029439,-0.621688914,0.535202706,0.941629169
ASV5954,0.399312711,2.350872058,0.16985727,0.865378557,
ASV5958,-6.782502297,,,,
ASV5963,-0.371303451,1.417683756,-0.261908518,0.793794145,0.941629169
ASV5965,0.283254888,2.787088388,0.10163111,0.919201403,
ASV5974,-18.72310087,403514.2346,-4.64E-05,0.999963047,
ASV5985,-1.860311629,1.900900002,-0.978647812,0.329517569,
ASV5990,-4.926635815,1.605755788,-3.068110265,0.002607356,
ASV5997,-0.182034414,3.425053822,-0.053147899,0.95769322,
ASV5998,-15.67371383,,,,
ASV6002,-1.325669381,1.483827819,-0.893411866,0.373238384,
ASV6011,-1.32887102,1.400444291,-0.948892454,0.344383499,0.905309277
ASV6024,-0.049237828,3.070275743,-0.01603694,0.987228775,
ASV6025,1.86182344,3.339112027,0.557580406,0.578061207,
ASV6029,-17.70931768,,,,
ASV6034,-5.707116849,,,,
ASV6036,-4.236644376,,,,
ASV6040,-22.43734158,608806.4092,-3.69E-05,0.999970649,
ASV6042,-21.65331266,512773.0896,-4.22E-05,0.99996637,
ASV6066,-0.014294274,1.857260229,-0.00769643,0.993870644,0.996880046
ASV6071,-0.689467782,0.743062945,-0.927872647,0.355141941,0.905309277
ASV6072,-17.24878165,77135.65186,-0.000223616,0.999821913,
ASV6075,-0.318742173,2.990006981,-0.106602485,0.915263777,
ASV6081,-4.334186135,,,,
ASV6084,-1.881810235,2.581453222,-0.728973207,0.467290228,
ASV6086,3.336838189,1.427747347,2.337134926,0.020914109,
ASV6088,-0.537953597,2.093228618,-0.256997058,0.797575237,
ASV6093,-20.9654545,643650.2693,-3.26E-05,0.999974059,
ASV6095,-4.937511185,,,,
ASV6099,-5.194864975,1.570766947,-3.307215615,0.001209826,
ASV6107,-5.759414101,,,,
ASV6108,0.468130434,0.584695156,0.800640179,0.424757233,0.940620713
ASV6112,0.648106694,1.458754798,0.444287618,0.657551342,0.941629169
ASV6117,-3.741689585,,,,
ASV6122,-4.589203819,1.583438496,-2.898252019,0.004385423,
ASV6132,-5.351879552,2.682185962,-1.995342466,0.048033485,
ASV6134,1.112025302,0.992545881,1.120376723,0.264557261,
ASV6139,2.367113916,2.974741029,0.795737811,0.427591806,
ASV6141,-4.955254092,1.268690426,-3.905802385,0.000148247,
ASV6145,-0.132463964,0.413915749,-0.320026392,0.749446777,0.941629169
ASV6162,-0.424759445,2.114506045,-0.200878804,0.841097926,0.941629169
ASV6170,-0.601899459,0.671904632,-0.895810848,0.371960206,0.905309277
ASV6179,-6.073818662,2.131387717,-2.849701447,0.005067986,
ASV6182,6.539457691,1.089948884,5.999783832,1.74E-08,
ASV6192,-3.760630627,1.211939989,-3.102984192,0.002337172,0.031610679
ASV6193,-1.57562863,0.727043071,-2.167173712,0.031989391,0.284946618
ASV6194,-2.303842058,3.483941872,-0.66127454,0.509571675,
ASV6196,-5.716931953,2.838064234,-2.014377224,0.045971442,
ASV6199,-19.69442935,709265.8204,-2.78E-05,0.999977886,
ASV6202,-4.844149278,,,,
ASV6207,-17.24902722,69698.02638,-0.000247482,0.999802906,
ASV6220,-6.69109508,1.275443706,-5.246092044,5.92E-07,
ASV6234,5.034369308,,,,
ASV6242,1.265601397,0.907007605,1.395359189,0.165215713,0.695619436
ASV6244,-5.649485279,,,,
ASV6247,-6.202579941,,,,
